CTRY,MCA,UNLocode,Country/Port Name,Label using special characters,Nat. Stat. Group,Statistical Port,National Code,2024 list: modifications compared to 2023 list,TEN-T network,Port on an island (X: Island; O: Outer region),Sea ,Sea code,NUTS 3 code,2023 list: modifications compared to 2022 list,2022 list: modifications compared to 2021 list,2021 list: modifications compared to 2020 list,2020 list: modifications compared to 2019 list,2019 list: modifications compared to 2018 list,2018 list: modifications compared to 2017 list,2017 list: modifications compared to 2016 list,2016 list: modifications compared to 2015 list,2015 list: modifications compared to 2014 list,2014 list: modifications compared to 2013 list,2013 list: modifications compared to 2012 list,2012 list: modifications compared to 2011 list,2011 list: modifications compared to 2010 list,2010 list: modifications compared to 2009 list,2009 list: modifications compared to 2008 list,2008 list: modifications compared to 2007 list,2007 list: modifications compared to 2006 list,2006 list: modifications compared to 2005 list,2005 list: modifications compared to 2004 Excel list,2004 Excel list: modifications compared to 2004 official list,2004 official list: modifications compared to 2000 official list,2000 official list: modifications compared to 1998 official list,previous changes (partial coverage) and other comments,Coordinates from 2009 list or provided by country,Coordinates UNECE,Coordinates Antwerpen (March 2009),Coordinates GISCO     Longitude    (SIF January 2009),Coordinates GISCO     Latitude    (SIF January 2009),Label in Comm Dec 2008/861,Label in UNECE
NO,NO00,NOMYO,Myre-Oksnes,Myre-Øksnes,,X,,,,,North Sea,4,NO071 ,,,,,,,,,2015: Change in port name (previously: Øksnes/Myre),,,,,2010: Becomes statistical port,,,,,,2004: New entry,,,,6855N 01504E,,,15.08199501,68.91501617,,Myre-Øksnes
NO,NO00,NONEV,Nevlunghamn,,NOLAR,,,,,,North Sea,4,NO091,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,9.86886,58.96794,,
NO,NO00,NONFD,Nordfjordeid,,NOMAY,,,,,,North Sea,4,NO0A2,,,,,,,,,,,,,2011: New entry as non-statistical port - Previously regrouped with Eid under code NOEID,,,,,,,,,,,6154N 00559E,,,6,61.9,,Eid
NO,NO00,NONFO,Nordfosen,,,X,,,,,North Sea,4,NO060,,,,,2019: New entry as statistical port - Ex NOAAF - Afjord,,,,,,,,,,,,,,,,,,,,,,10.17931,63.95601,,Åfjord
NO,NO00,NONHL,Ny Hellesund,,NOSNE,,,,,,North Sea,4,,,,,,,,,,2015: New entry as non-statistical port,,,,,,,,,,,,,,,,5804N 00508E,,,,,
NO,NO00,NONHS,Norheimsund,,,X,,,,,North Sea,4,NO0A2,,,,,2019: Become statistical port (previously NOKVM),,,,2015: New entry as non-statistical port,,,,,,,,,,,,,,,6022N 00608E,,,,,,Kvam
NO,NO00,NONIA,Hammarvika - Froya,Hammarvika - Frøya,NOTRD,,,,,,North Sea,4,NO060,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,8.81093,63.69339,,
NO,NO00,NONOF,Nordfold,,NOOYB,,,,,,North Sea,4,NO071,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,Not in UNLOCODE,,,,15.246467,67.765083,,
NO,NO00,NONOM,Nordmela,,NOADN,,,,,,North Sea,4,NO071,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,15.6814,69.14179,,
NO,NO00,NONSF,Nordskaget - Froya,Nordskaget - Frøya,NOTRD,,,,,,North Sea,4,NO060,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,8.5644,63.7093,,
NO,NO00,NONSN,Nesna,,,X,,,,,North Sea,4,NO071,,,,,2019: Become statistical port (previously NO88A),,2017: Previously Ref stat port NO888,,,,,,,2010: Definition of the reference statistical port as NO888,,,,,2005: ex NO921,2004: New entry,,,,6612N 01301E,6612N 01301E,6612N 01301E,13.02421856,66.19949341,,Nesna
NO,NO00,NONVK,Narvik,,,X,,,,,North Sea,4,NO071,,,,,,,,,,,,,,,,,,,,2004: Re-introduced,,2000: Deleted ,,6825.57N 01725.06E,,6826N 01726E,17.41666667,68.43333333,,Narvik
