run_id,run_path,timestamp_utc,manifest_timestamp_utc,dataset,record_index,dedupe_value,dedupe_field_used,doi,source_id,title,record_origin,axis_name
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1311,10.1002/we.2871,doi,10.1002/we.2871,crossref:10.1002/we.2871,Norwegian offshore wind power—Spatial planning using multi‐criteria decision analysis,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,845,10.1002/we.2871,doi,10.1002/we.2871,crossref:10.1002/we.2871,Norwegian offshore wind power—Spatial planning using multi‐criteria decision analysis,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,845,10.1002/we.2871,doi,10.1002/we.2871,crossref:10.1002/we.2871,Norwegian offshore wind power—Spatial planning using multi‐criteria decision analysis,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1312,10.1002/we.2871/v1/review2,doi,10.1002/we.2871/v1/review2,crossref:10.1002/we.2871/v1/review2,"Review for ""Norwegian offshore wind power-Spatial planning using multi-criteria decision analysis""",LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,846,10.1002/we.2871/v1/review2,doi,10.1002/we.2871/v1/review2,crossref:10.1002/we.2871/v1/review2,"Review for ""Norwegian offshore wind power-Spatial planning using multi-criteria decision analysis""",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,846,10.1002/we.2871/v1/review2,doi,10.1002/we.2871/v1/review2,crossref:10.1002/we.2871/v1/review2,"Review for ""Norwegian offshore wind power-Spatial planning using multi-criteria decision analysis""",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,82,10.1007/1-4020-3778-3_10,source_id,,10.1007/1-4020-3778-3_10,Indigenous and traditional fishing rights advocacy: A comparative analysis of two forms of stakeholder participation in Eu,STATIC_LITERATURE,OCEANIC
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,52,10.1007/1-4020-3778-3_6,source_id,,10.1007/1-4020-3778-3_6,"Indigenous and traditional fishing rights advocacy: Fisheries Governance, Social Justice and Participatory Decision-Making",STATIC_LITERATURE,OCEANIC
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,2048,10.1007/1-4020-4693-6_3,doi,10.1007/1-4020-4693-6_3,crossref:10.1007/1-4020-4693-6_3,Accounting standards for supply chains,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,1582,10.1007/1-4020-4693-6_3,doi,10.1007/1-4020-4693-6_3,crossref:10.1007/1-4020-4693-6_3,Accounting standards for supply chains,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,1582,10.1007/1-4020-4693-6_3,doi,10.1007/1-4020-4693-6_3,crossref:10.1007/1-4020-4693-6_3,Accounting standards for supply chains,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,2047,10.1007/1-4020-4693-6_6,doi,10.1007/1-4020-4693-6_6,crossref:10.1007/1-4020-4693-6_6,"Retailers' supply chain, product differentiation and quality standards",LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,1581,10.1007/1-4020-4693-6_6,doi,10.1007/1-4020-4693-6_6,crossref:10.1007/1-4020-4693-6_6,"Retailers' supply chain, product differentiation and quality standards",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,1581,10.1007/1-4020-4693-6_6,doi,10.1007/1-4020-4693-6_6,crossref:10.1007/1-4020-4693-6_6,"Retailers' supply chain, product differentiation and quality standards",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1125,10.1007/978-1-4020-8835-3_20,doi,10.1007/978-1-4020-8835-3_20,crossref:10.1007/978-1-4020-8835-3_20,Governance for Global Competitiveness: The Future of Aquaculture Policy in aWorld Turned Upside Down,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,659,10.1007/978-1-4020-8835-3_20,doi,10.1007/978-1-4020-8835-3_20,crossref:10.1007/978-1-4020-8835-3_20,Governance for Global Competitiveness: The Future of Aquaculture Policy in aWorld Turned Upside Down,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,659,10.1007/978-1-4020-8835-3_20,doi,10.1007/978-1-4020-8835-3_20,crossref:10.1007/978-1-4020-8835-3_20,Governance for Global Competitiveness: The Future of Aquaculture Policy in aWorld Turned Upside Down,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1108,10.1007/978-1-4020-8835-3_3,doi,10.1007/978-1-4020-8835-3_3,crossref:10.1007/978-1-4020-8835-3_3,Science and Governance Issues in Aquaculture AnimalWelfare,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,642,10.1007/978-1-4020-8835-3_3,doi,10.1007/978-1-4020-8835-3_3,crossref:10.1007/978-1-4020-8835-3_3,Science and Governance Issues in Aquaculture AnimalWelfare,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,642,10.1007/978-1-4020-8835-3_3,doi,10.1007/978-1-4020-8835-3_3,crossref:10.1007/978-1-4020-8835-3_3,Science and Governance Issues in Aquaculture AnimalWelfare,,
